	Contract Name	Last Trade Date	Strike	Last Price	Bid	Ask
0	AMZN231013C00070000	2023-09-22 12:45PM EDT	70.0	61.45	59.0	59.65
1	AMZN231013C00075000	2023-09-21 3:13PM EDT	75.0	54.85	54.0	54.65
2	AMZN231013C00090000	2023-09-22 2:34PM EDT	90.0	39.47	37.95	40.9
3	AMZN231013C00100000	2023-09-22 10:31AM EDT	100.0	31.3	29.1	29.85
4	AMZN231013C00105000	2023-09-21 2:36PM EDT	105.0	24.45	24.1	24.95
5	AMZN231013C00110000	2023-09-21 2:09PM EDT	110.0	19.55	19.2	20.1
6	AMZN231013C00115000	2023-09-22 3:50PM EDT	115.0	15.1	14.4	15.35
7	AMZN231013C00120000	2023-09-22 3:55PM EDT	120.0	10.45	10.15	10.45
8	AMZN231013C00121000	2023-09-22 3:13PM EDT	121.0	10.02	9.3	9.6
9	AMZN231013C00122000	2023-09-22 2:53PM EDT	122.0	8.63	8.5	9.0
10	AMZN231013C00123000	2023-09-22 3:55PM EDT	123.0	8.0	7.7	8.0
11	AMZN231013C00124000	2023-09-22 3:55PM EDT	124.0	7.1	6.95	7.25
12	AMZN231013C00125000	2023-09-22 3:59PM EDT	125.0	6.45	6.35	6.5
13	AMZN231013C00126000	2023-09-22 3:55PM EDT	126.0	5.8	5.7	5.8
14	AMZN231013C00127000	2023-09-22 3:02PM EDT	127.0	5.3	5.05	5.2
15	AMZN231013C00128000	2023-09-22 3:36PM EDT	128.0	4.88	4.45	4.55
16	AMZN231013C00129000	2023-09-22 3:55PM EDT	129.0	4.0	3.85	4.0
17	AMZN231013C00130000	2023-09-22 3:57PM EDT	130.0	3.45	3.35	3.5
18	AMZN231013C00131000	2023-09-22 3:57PM EDT	131.0	2.94	2.89	2.98
19	AMZN231013C00132000	2023-09-22 3:58PM EDT	132.0	2.5	2.46	2.6
20	AMZN231013C00133000	2023-09-22 3:57PM EDT	133.0	2.14	2.08	2.16
21	AMZN231013C00134000	2023-09-22 3:53PM EDT	134.0	1.82	1.74	1.82
22	AMZN231013C00135000	2023-09-22 3:59PM EDT	135.0	1.53	1.44	1.53
23	AMZN231013C00136000	2023-09-22 3:59PM EDT	136.0	1.26	1.19	1.27
24	AMZN231013C00137000	2023-09-22 3:59PM EDT	137.0	1.02	0.98	1.05
25	AMZN231013C00138000	2023-09-22 3:58PM EDT	138.0	0.85	0.8	0.86
26	AMZN231013C00139000	2023-09-22 3:58PM EDT	139.0	0.69	0.65	0.71
27	AMZN231013C00140000	2023-09-22 3:55PM EDT	140.0	0.59	0.53	0.58
28	AMZN231013C00141000	2023-09-22 3:50PM EDT	141.0	0.48	0.43	0.48
29	AMZN231013C00142000	2023-09-22 3:48PM EDT	142.0	0.38	0.36	0.4
30	AMZN231013C00143000	2023-09-22 3:05PM EDT	143.0	0.32	0.31	0.33
31	AMZN231013C00144000	2023-09-22 3:49PM EDT	144.0	0.27	0.26	0.27
32	AMZN231013C00145000	2023-09-22 3:47PM EDT	145.0	0.21	0.21	0.23
33	AMZN231013C00146000	2023-09-22 3:01PM EDT	146.0	0.18	0.18	0.2
34	AMZN231013C00147000	2023-09-22 2:25PM EDT	147.0	0.15	0.15	0.16
35	AMZN231013C00148000	2023-09-22 3:44PM EDT	148.0	0.12	0.1	0.15
36	AMZN231013C00149000	2023-09-22 3:53PM EDT	149.0	0.11	0.11	0.13
37	AMZN231013C00150000	2023-09-22 3:40PM EDT	150.0	0.11	0.09	0.11
38	AMZN231013C00152500	2023-09-22 2:55PM EDT	152.5	0.07	0.07	0.08
39	AMZN231013C00155000	2023-09-22 2:56PM EDT	155.0	0.05	0.05	0.06
40	AMZN231013C00157500	2023-09-22 2:51PM EDT	157.5	0.04	0.03	0.05
41	AMZN231013C00160000	2023-09-22 1:27PM EDT	160.0	0.02	0.02	0.03
42	AMZN231013C00162500	2023-09-21 9:32AM EDT	162.5	0.03	0.01	0.03
43	AMZN231013C00165000	2023-09-22 10:42AM EDT	165.0	0.02	0.01	0.02
44	AMZN231013C00167500	2023-09-22 2:23PM EDT	167.5	0.01	0.0	0.07
45	AMZN231013C00170000	2023-09-22 1:40PM EDT	170.0	0.01	0.0	0.06
46	AMZN231013C00175000	2023-09-21 10:29AM EDT	175.0	0.01	0.0	0.06
47	AMZN231020C00095000	2023-09-22 3:46PM EDT	95.0	34.93	34.25	34.95
48	AMZN231020C00100000	2023-09-22 2:59PM EDT	100.0	29.7	29.2	30.05
49	AMZN231020C00105000	2023-09-22 12:06PM EDT	105.0	26.42	24.5	25.15
50	AMZN231020C00110000	2023-09-22 3:54PM EDT	110.0	19.75	19.7	20.1
51	AMZN231020C00115000	2023-09-22 3:59PM EDT	115.0	15.15	15.1	15.35
52	AMZN231020C00120000	2023-09-22 3:55PM EDT	120.0	10.8	10.7	10.95
53	AMZN231020C00125000	2023-09-22 3:55PM EDT	125.0	7.1	7.0	7.1
54	AMZN231020C00130000	2023-09-22 3:59PM EDT	130.0	4.1	4.0	4.1
55	AMZN231020C00135000	2023-09-22 3:59PM EDT	135.0	2.04	2.0	2.07
56	AMZN231020C00140000	2023-09-22 3:59PM EDT	140.0	0.9	0.9	0.93
57	AMZN231020C00145000	2023-09-22 3:59PM EDT	145.0	0.39	0.38	0.41
58	AMZN231020C00150000	2023-09-22 3:56PM EDT	150.0	0.2	0.19	0.2
59	AMZN231020C00155000	2023-09-22 3:37PM EDT	155.0	0.11	0.1	0.11
60	AMZN231020C00160000	2023-09-22 3:41PM EDT	160.0	0.06	0.05	0.07
61	AMZN231020C00165000	2023-09-22 3:29PM EDT	165.0	0.03	0.02	0.04
62	AMZN231020C00170000	2023-09-22 2:36PM EDT	170.0	0.02	0.02	0.03
63	AMZN231020C00175000	2023-09-22 2:22PM EDT	175.0	0.02	0.01	0.03
64	AMZN231027C00070000	2023-09-11 3:19PM EDT	70.0	73.74	59.1	59.8
65	AMZN231027C00090000	2023-09-22 2:34PM EDT	90.0	39.7	39.25	40.1
66	AMZN231027C00095000	2023-09-14 10:58AM EDT	95.0	50.62	34.3	35.25
67	AMZN231027C00100000	2023-09-22 3:12PM EDT	100.0	30.67	29.35	30.45
68	AMZN231027C00105000	2023-09-22 11:38AM EDT	105.0	27.33	24.5	25.7
69	AMZN231027C00110000	2023-09-21 1:02PM EDT	110.0	21.87	19.75	21.15
70	AMZN231027C00115000	2023-09-22 3:17PM EDT	115.0	16.4	15.55	16.4
71	AMZN231027C00120000	2023-09-22 3:55PM EDT	120.0	11.8	11.15	11.9
72	AMZN231027C00121000	2023-09-21 2:45PM EDT	121.0	11.9	10.4	11.7
73	AMZN231027C00122000	2023-09-22 11:08AM EDT	122.0	12.41	9.9	11.05
74	AMZN231027C00123000	2023-09-21 11:19AM EDT	123.0	10.78	9.45	9.8
75	AMZN231027C00124000	2023-09-22 2:24PM EDT	124.0	8.85	8.7	9.0
76	AMZN231027C00125000	2023-09-22 2:17PM EDT	125.0	7.9	8.1	8.35
77	AMZN231027C00126000	2023-09-22 1:46PM EDT	126.0	7.67	7.5	7.7
78	AMZN231027C00127000	2023-09-22 3:54PM EDT	127.0	7.0	6.9	7.1
79	AMZN231027C00128000	2023-09-22 2:44PM EDT	128.0	6.35	6.3	6.55
80	AMZN231027C00129000	2023-09-22 2:57PM EDT	129.0	6.0	5.75	6.0
81	AMZN231027C00130000	2023-09-22 3:59PM EDT	130.0	5.45	5.25	5.45
82	AMZN231027C00131000	2023-09-22 3:47PM EDT	131.0	4.9	4.8	5.0
83	AMZN231027C00132000	2023-09-22 3:44PM EDT	132.0	4.4	4.3	4.5
84	AMZN231027C00133000	2023-09-22 3:57PM EDT	133.0	3.98	3.75	4.05
85	AMZN231027C00134000	2023-09-22 3:10PM EDT	134.0	3.75	3.4	3.7
86	AMZN231027C00135000	2023-09-22 3:44PM EDT	135.0	3.22	3.1	3.3
87	AMZN231027C00136000	2023-09-22 3:23PM EDT	136.0	2.88	2.79	2.94
88	AMZN231027C00137000	2023-09-22 3:18PM EDT	137.0	2.71	2.48	2.63
89	AMZN231027C00138000	2023-09-22 3:31PM EDT	138.0	2.38	2.19	2.34
90	AMZN231027C00139000	2023-09-22 3:43PM EDT	139.0	2.0	1.93	2.07
91	AMZN231027C00140000	2023-09-22 3:59PM EDT	140.0	1.77	1.7	1.85
92	AMZN231027C00141000	2023-09-22 3:09PM EDT	141.0	1.65	1.5	1.62
93	AMZN231027C00142000	2023-09-22 3:49PM EDT	142.0	1.35	1.29	1.46
94	AMZN231027C00143000	2023-09-22 3:24PM EDT	143.0	1.3	1.14	1.29
95	AMZN231027C00144000	2023-09-22 2:56PM EDT	144.0	1.05	0.99	1.15
96	AMZN231027C00145000	2023-09-22 3:54PM EDT	145.0	0.91	0.87	0.99
97	AMZN231027C00146000	2023-09-22 3:45PM EDT	146.0	0.83	0.8	0.9
98	AMZN231027C00147000	2023-09-22 3:43PM EDT	147.0	0.75	0.7	0.79
99	AMZN231027C00148000	2023-09-22 3:26PM EDT	148.0	0.67	0.57	0.71
100	AMZN231027C00149000	2023-09-22 3:53PM EDT	149.0	0.54	0.5	0.63
101	AMZN231027C00150000	2023-09-22 2:31PM EDT	150.0	0.5	0.45	0.57
102	AMZN231027C00152500	2023-09-22 3:51PM EDT	152.5	0.36	0.32	0.43
103	AMZN231027C00155000	2023-09-22 3:56PM EDT	155.0	0.29	0.23	0.34
104	AMZN231027C00157500	2023-09-22 1:41PM EDT	157.5	0.19	0.16	0.25
105	AMZN231027C00160000	2023-09-22 3:59PM EDT	160.0	0.17	0.14	0.19
106	AMZN231027C00162500	2023-09-22 3:39PM EDT	162.5	0.17	0.13	0.19
107	AMZN231027C00165000	2023-09-22 11:31AM EDT	165.0	0.11	0.08	0.16
108	AMZN231027C00167500	2023-09-22 2:02PM EDT	167.5	0.09	0.03	0.09
109	AMZN231027C00170000	2023-09-21 2:14PM EDT	170.0	0.1	0.05	0.11
110	AMZN231117C00060000	2023-09-06 9:43AM EDT	60.0	77.27	69.25	70.0
111	AMZN231117C00065000	2023-09-15 12:28PM EDT	65.0	76.35	64.3	65.05
112	AMZN231117C00070000	2023-09-22 1:15PM EDT	70.0	61.0	59.35	60.1
113	AMZN231117C00075000	2023-09-19 12:36PM EDT	75.0	61.91	54.4	55.2
114	AMZN231117C00080000	2023-09-21 9:37AM EDT	80.0	52.13	49.45	50.3
115	AMZN231117C00085000	2023-09-08 10:45AM EDT	85.0	54.17	44.55	45.45
116	AMZN231117C00090000	2023-09-22 12:04PM EDT	90.0	41.88	39.65	40.6
117	AMZN231117C00095000	2023-09-22 2:59PM EDT	95.0	35.26	34.8	35.8
118	AMZN231117C00100000	2023-09-22 3:00PM EDT	100.0	30.7	30.0	30.7
119	AMZN231117C00105000	2023-09-22 2:56PM EDT	105.0	26.14	25.35	26.05
120	AMZN231117C00110000	2023-09-22 3:50PM EDT	110.0	21.7	21.2	21.65
121	AMZN231117C00115000	2023-09-22 3:33PM EDT	115.0	17.8	17.2	17.45
122	AMZN231117C00120000	2023-09-22 3:52PM EDT	120.0	13.6	13.45	13.65
123	AMZN231117C00125000	2023-09-22 3:58PM EDT	125.0	10.2	10.15	10.3
124	AMZN231117C00130000	2023-09-22 3:58PM EDT	130.0	7.41	7.3	7.45
125	AMZN231117C00135000	2023-09-22 3:59PM EDT	135.0	5.15	5.05	5.15
126	AMZN231117C00140000	2023-09-22 3:59PM EDT	140.0	3.4	3.35	3.45
127	AMZN231117C00145000	2023-09-22 3:59PM EDT	145.0	2.18	2.16	2.2
128	AMZN231117C00150000	2023-09-22 3:58PM EDT	150.0	1.36	1.34	1.41
129	AMZN231117C00155000	2023-09-22 3:59PM EDT	155.0	0.88	0.86	0.89
130	AMZN231117C00160000	2023-09-22 3:53PM EDT	160.0	0.57	0.55	0.57
131	AMZN231117C00165000	2023-09-22 3:25PM EDT	165.0	0.38	0.33	0.38
132	AMZN231117C00170000	2023-09-22 3:27PM EDT	170.0	0.26	0.24	0.26
133	AMZN231117C00175000	2023-09-22 3:53PM EDT	175.0	0.18	0.12	0.18
134	AMZN231117C00180000	2023-09-22 3:53PM EDT	180.0	0.12	0.12	0.13
135	AMZN231117C00185000	2023-09-22 10:01AM EDT	185.0	0.11	0.09	0.1
136	AMZN231117C00190000	2023-09-22 3:49PM EDT	190.0	0.06	0.06	0.08
137	AMZN231117C00195000	2023-09-22 1:09PM EDT	195.0	0.05	0.04	0.06
138	AMZN231117C00200000	2023-09-22 3:23PM EDT	200.0	0.04	0.03	0.05
139	AMZN231117C00205000	2023-09-19 3:08PM EDT	205.0	0.05	0.02	0.04
140	AMZN231117C00210000	2023-09-22 3:23PM EDT	210.0	0.02	0.01	0.03
141	AMZN231215C00065000	2023-09-19 3:16PM EDT	65.0	72.79	64.6	65.4
142	AMZN231215C00070000	2023-09-18 10:54AM EDT	70.0	70.65	59.65	60.5
143	AMZN231215C00075000	2023-09-19 2:49PM EDT	75.0	63.38	54.75	55.65
144	AMZN231215C00080000	2023-09-22 1:43PM EDT	80.0	50.5	49.85	50.8
145	AMZN231215C00085000	2023-09-22 9:45AM EDT	85.0	47.8	45.0	46.0
146	AMZN231215C00090000	2023-09-22 3:34PM EDT	90.0	41.34	40.15	41.2
147	AMZN231215C00095000	2023-09-22 3:33PM EDT	95.0	36.61	35.4	36.5
148	AMZN231215C00100000	2023-09-22 3:24PM EDT	100.0	31.95	30.75	31.9
149	AMZN231215C00105000	2023-09-22 2:18PM EDT	105.0	26.35	26.55	26.9
150	AMZN231215C00110000	2023-09-22 3:20PM EDT	110.0	23.1	22.35	22.7
151	AMZN231215C00115000	2023-09-22 3:59PM EDT	115.0	18.45	18.4	18.6
152	AMZN231215C00120000	2023-09-22 3:58PM EDT	120.0	14.84	14.7	14.95
153	AMZN231215C00125000	2023-09-22 3:49PM EDT	125.0	11.7	11.5	11.6
154	AMZN231215C00130000	2023-09-22 3:57PM EDT	130.0	8.7	8.7	8.8
155	AMZN231215C00135000	2023-09-22 3:58PM EDT	135.0	6.4	6.35	6.45
156	AMZN231215C00140000	2023-09-22 3:59PM EDT	140.0	4.55	4.5	4.6
157	AMZN231215C00145000	2023-09-22 3:59PM EDT	145.0	3.13	3.1	3.2
158	AMZN231215C00150000	2023-09-22 3:59PM EDT	150.0	2.12	2.09	2.15
159	AMZN231215C00155000	2023-09-22 3:59PM EDT	155.0	1.43	1.39	1.45
160	AMZN231215C00160000	2023-09-22 3:46PM EDT	160.0	0.97	0.95	0.98
161	AMZN231215C00165000	2023-09-22 3:49PM EDT	165.0	0.66	0.64	0.67
162	AMZN231215C00170000	2023-09-22 2:23PM EDT	170.0	0.46	0.45	0.47
163	AMZN231215C00175000	2023-09-22 3:49PM EDT	175.0	0.33	0.31	0.34
164	AMZN231215C00180000	2023-09-22 3:38PM EDT	180.0	0.24	0.22	0.24
165	AMZN231215C00185000	2023-09-22 2:19PM EDT	185.0	0.17	0.16	0.19
166	AMZN231215C00190000	2023-09-22 3:39PM EDT	190.0	0.13	0.12	0.15
167	AMZN231215C00195000	2023-09-21 2:04PM EDT	195.0	0.1	0.1	0.11
168	AMZN231215C00200000	2023-09-22 2:26PM EDT	200.0	0.09	0.08	0.09
169	AMZN231215C00210000	2023-09-22 1:04PM EDT	210.0	0.05	0.04	0.06
